"idstd","id","a4a","a6a","a2","a1c","competition_select","tax_select","vat_applicable","a4b_v4","a0","a3a","a6c","a7","a1a","a14d","a14m","a14y","a14h","a14min","ic1","a20y","a20m","a20d","a1","a12","a7a","a7b","a11","a7c","a9","b1","b1x","b3a","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6b","b7","b7a","b8","b8x","c3","c4","c5","c31","c32","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c33","c34","c34b","c34bx","c152","c162","c172","c35a","c35b","c22b","c36","c37","c38","c39","c40a","c40b","c41a","c41b","c42","c30a","d1a1a","d1a6a","d1a6b","d1a6c","d1a6cx","d1a3","d2","d2x","d2a1","d2a1x","n3","n3x","d3a","d3b","d3c","d32","d4a","d4b","d33a","d33b","d34","d35","d36a","d36b","d37","d8","d12a","d12b","d13","d39","d14a","d14b","d40a","d40b","d41","d30a","d30b","o1","o2","o3a","o3b","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","e1","e2b","e31a","e31b","e6","e11","e32","e33","e34","e35","e30","h1","h2","h3x","h4x","h5","h6x","h7x","h8","h9","f1","g2","g3","g4","g31","g32","g33","g5a","g5b","g5bx","g30a","ge3","ge3a","ge7","ge8d","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5a1","k5i","k5i1","k5bc","k5bc1","k5e","k5e1","k5f","k5f1","k5hdj","k5hdj1","k4b","n5c","n5d","k6","k7","k82","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k162","k17","k20a1","k31","k32","k21","k33","k34","k35","k36","k37","k38","k39","k40","k30","j31","j2","j3","j4","j5","j32","j33","j34","j35a","j35b","j36","j37","j38","j39","j40","j6a","j41","j42","j43","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","i30","j30_taxrate_pos","j30_taxadmin_pos","j30_permit_pos","j30_instability_pos","j30_corruption_pos","j30_courts_pos","j30_crime_pos","l1","l2","l3a","l3b","l4a1","l4a2","l4b","l5a","l5b","l5","l9b","l9b1","l10","l11a","l11a1","l11b","l11b1","l12a","l12a1","l31","l32","l33","l34","l35","l36","l1a","l6","l6a","l8","l37","l38","l39","l40","l41","l30a","l30b","m1a","m1a_finance_pos","m1a_land_pos","m1a_permit_pos","m1a_corruption_pos","m1a_courts_pos","m1a_crime_pos","m1a_trade_pos","m1a_electricity_pos","m1a_workforce_pos","m1a_labor_pos","m1a_instability_pos","m1a_informal_pos","m1a_taxadmin_pos","m1a_taxrate_pos","m1a_transport_pos","n2a","n2a2","n2b","n2k","n2l","n2e","n2i","n2a1","n2e1","n7a","n11","n12","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","a13","a3b","a3c","a3","d1a2_v4","stratificationregioncode","stratificationsizecode","stratificationsectorcode","stratificationpanelcode","wstrict","wmedian","wweak","strata","a6b","d31x","d38x"
"1185529","53481","Fabricated Metal Products","Large","Red River Delta","Establishment","0","1","Yes","Machinery and equipment","Manufacturing","Red River Delta","116","No","Vietnamese","26","9","2023","10","59","Yes","2022","12","31","99","MKEInt_HP3","","","","","","Sole proprietorship","","Yes","0","100","0","0","No","","2006","Don't know (spontaneous)","2006","11","No","Yes","ISO 9000, ISO 14000, ABS, NSF, DNV, PED, CRN, LLOY","No","","","","261165","Yes","10","4","30","","1200000000","Yes","70","No","","","","1007","Cubic meters","","No","","","","","Yes","No","","","Yes","48","","None","","Don't know (spontaneous)","Moderate obstacle","Manufacturing of ","","","","","100","680435000000","Six hundred and eighty billion, four hundred and thirty-five million","386180000000","Three hundred and eighty-six billion, one hundred and eighty million","191719000000","One hundred and ninety-one billion, seven hundred and nineteen million","0","0","100","Seaport","3","","5","","Don't know (spontaneous)","No","","","","2014","0","100","Yes","Seaport","5","","7","","Don't know (spontaneous)","No obstacle","Minor obstacle","No","","Tend to agree","Tend to agree","We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance","No","","Yes","Combination of short term and long term production targets","Only possible to achieve with extraordinary effort","All managers and most production workers","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","International","Don't know (spontaneous)","","","Yes","No","Yes, there is more competition","No","Don't know (spontaneous)","","Major obstacle","No","","","","No","","","No","","85","No","","","No","","","","","","No obstacle","No","","No","Yes","100","0","0","0","0","Yes","1405000000","0","100","","0","","0","","0","","0","","0","","No","","","Yes","No","Yes, both a line of credit and a loan","Private commercial banks","2022","56000000000","Yes","Yes","Yes","No","No","Yes","Don't know (spontaneous)","8","406000000000","No","Yes, both a line of credit and a loan","","Application was approved in full","65000000","15","Yes","90","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","0","Don't know (spontaneous)","99","Internet and mobile banking, including direct debit transfer","0","No obstacle","Does not apply (spontaneous)","Don't know (spontaneous)","No","","","","","Yes, fully","36","","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","Moderate obstacle","No obstacle","No obstacle","No obstacle","No obstacle","Moderate obstacle","5","3","1","7","2","4","6","120","112","97","23","20","77","0","51","11","","100","","Yes","100","","100","","100","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","Moderate obstacle","Major obstacle","Inadequately educated workforce","9","11","13","7","15","14","6","10","12","1","3","5","8","4","2","28943000000","7666000000","6585000000","133000000","15000000","441030000000","","24040000000","236568000000","97500000000","3","10","26","9","2023","12","48","Somewhat truthful","Are in some case taken from books and in some case estimates","One visit in face-to-face interview with one person","","","4","No","Yes","","2824","Red River Delta","Large (100 or more)","Fabricated Metal Products","Fresh","2.4288158416748","8.3640775680542","9.0184898376465","60","Large","United States of America","Korea, Republic of"
"1185530","53955","Other Manufacturing","Small","Red River Delta","Establishment","1","1","Yes","Repair and installation of machinery and equipment","Manufacturing","Red River Delta","10","No","Vietnamese","28","9","2023","8","45","Yes","2022","12","31","99","MKEInt_HP1","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2008","Don't know (spontaneous)","2008","Don't know (spontaneous)","No","No","","No","","","","2200","No","","","","","","No","","No","","","","90","Cubic meters","","No","","","","","No","No","","","Yes","2","","None","","With no difficulty at all","No obstacle","Manufacturing of ","","","","","70","4307000000","four billion three hundred and seven million","Don't know (spontaneous)","","10095000000","ten billion and ninety-five million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","Too many to count","Don't know (spontaneous)","","No","No","No change","No","Yes","Not at all","No obstacle","No","","","","No","","","No","","Don't know (spontaneous)","No","","","No","","","","","","No obstacle","Yes","Don't know (spontaneous)","No","No","10","0","0","10","80","Yes","1750000000","0","100","","0","","0","","0","","0","","0","","Don't know (spontaneous)","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","","","No","100","Internet and mobile banking, including direct debit transfer","3","1","0","0","","","No obstacle","Strongly agree","2","Yes","1","No","No","","No","40","","Yes, fully","Yes, fully","No","","The application for a VAT cash refund is too complicated","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","Minor obstacle","No obstacle","Major obstacle","Minor obstacle","No obstacle","6","7","1","5","4","2","3","10","10","8","2","3","5","0","0","2","","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Does not apply","1","4","2","5","10","11","14","13","15","6","12","9","7","3","8","997000000","Don't know (spontaneous)","3600000","12000000","2500000","Don't know (spontaneous)","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","0","8","28","9","2023","9","53","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","No","Yes","","3315","Red River Delta","Small (5-19)","Other Manufacturing","Fresh","116.10271453857","412.791015625","485.92340087891","35","Small","",""
"1185531","54073","Fabricated Metal Products","Large","Red River Delta","Establishment","0","0","Yes","Fabricated metal products","Manufacturing","Red River Delta","192","No","Vietnamese","16","9","2023","9","11","Yes","2022","12","31","99","MKEInt_HP3","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2008","300","2008","15","No","No","","No","","","","96360","Yes","2","3","30","","1000000000","Yes","80","No","","","","200","Cubic meters","","No","","","","","Yes","Yes","One day or less","38800000","Yes","1","","None","","With no difficulty at all","Minor obstacle","Manufacturing of ","","","","","100","309501492000","Three hundred and nine billion, five hundred and one million, four hundred and ninety-two thousand","218824288000","Two hundred and eighteen billion, eight hundred and twenty-four million, two hundred and eighty-eight thousand","113337998000","One hundred thirteen billion three hundred thirty-seven million nine hundred ninety-eight thousand.","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Tend to agree","Tend to agree","We fixed it and took action to make sure it did not happen again","Yes","1-2 production performance indicators","Yes","Combination of short term and long term production targets","Possible to achieve with more than normal effort","Most managers and most production workers","Yes","The establishmentâs performance ","Does not apply (spontaneous)","Does not apply (spontaneous)","National â main product sold mostly across the country where establishment is located","Don't know (spontaneous)","","Don't know (spontaneous)","No","Don't know (spontaneous)","Yes, there is more competition","No","Don't know (spontaneous)","","No obstacle","No","","","","No","","","No","","85","No","","","No","","","","","","No obstacle","No","","No","No","100","0","0","0","0","Yes","7359515000","0","100","","0","","0","","0","","0","","0","","Yes","14554280000","15090122000","Yes","No","No","","","","","","","","","","","","","Yes","No","No need for a loan - establishment had sufficient capital","","","","No","90","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","1","Don't know (spontaneous)","1","Internet and mobile banking, including direct debit transfer","1","No obstacle","Does not apply (spontaneous)","Don't know (spontaneous)","No","","","","","Yes, fully","","39","Yes, fully","Yes, fully","Don't know (spontaneous)","","","No","","No","","No payments or gifts are paid","","No","","","No","","","Major obstacle","Major obstacle","Minor obstacle","Major obstacle","Moderate obstacle","No obstacle","No obstacle","7","2","5","6","1","3","4","198","138","150","48","18","132","0","48","12","","100","","Yes","100","","No employees trained","","48","","20","15","Legally required minimum wage or cost of dismissal were too high","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","Minor obstacle","Access to finance","10","13","5","14","1","12","4","11","3","7","15","9","2","8","6","24745940000","3882130000","3521355000","26880000","4500000","157896423000","","19400192000","122279675000","Don't know (spontaneous)","6","10","16","9","2023","10","26","Somewhat truthful","Are in some case taken from books and in some case estimates","Several visits","2","30","4","No","Yes","","2592","Red River Delta","Large (100 or more)","Fabricated Metal Products","Fresh","2.4288158416748","8.3640775680542","9.0184898376465","60","Large","",""
"1185532","54106","Other Manufacturing","Small","Red River Delta","Establishment","0","0","Yes","Printing and reproduction of recorded media","Manufacturing","Red River Delta","22","No","Vietnamese","28","9","2023","9","56","Yes","2022","12","31","99","MKEInt_HP1","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2008","5","2008","15","No","Still in process","Certification about combating climate change and reducing forest exploitation.","No","","","","4000","No","","","","","","No","","No","","","","20","Cubic meters","","No","","","","","No","No","","","No","","","","","With no difficulty at all","No obstacle","Manufacturing of ","","","","","100","15857000000","fifteen billion eight hundred fifty-seven million","15627000000","fifteen billion six hundred twenty-seven million","8303000000","eight billion three hundred and three million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","Does not apply (spontaneous)","Yes","1-2 production performance indicators","Yes","Main focus was on short-term (less than one year) production targets","Possible to achieve with normal amount of effort","Most managers and some production workers","Yes","The establishmentâs performance ","Does not apply (spontaneous)","Does not apply (spontaneous)","National â main product sold mostly across the country where establishment is located","Too many to count","","Don't know (spontaneous)","No","Yes","Yes, there is more competition","Don't know (spontaneous)","No","","Don't know (spontaneous)","No","","","","Don't know (spontaneous)","","","Don't know (spontaneous)","","Don't know (spontaneous)","No","","","No","","","","","","No obstacle","No","","No","No","96","0","0","4","0","No","","","","","","","","","","","","","","","Yes","Don't know (spontaneous)","Don't know (spontaneous)","Yes","No","Don't know (spontaneous)","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","","","","","No","100","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","0","50000","100","Internet and mobile banking, including direct debit transfer","0","No obstacle","Strongly agree","2","No","","","","","No","","Don't know (spontaneous)","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","3","7","6","5","1","2","4","22","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","Don't know (spontaneous)","","Don't know (spontaneous)","","","","","","","Don't know (spontaneous)","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Does not apply","9","12","11","3","13","1","14","7","5","15","6","8","10","4","2","4740000000","401000000","80000000","2000000","2000000","6286000000","","3277000000","7617000000","1550000000","11","6","28","9","2023","10","47","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","4","No","Yes","","1811","Red River Delta","Small (5-19)","Other Manufacturing","Fresh","116.10271453857","412.791015625","485.92340087891","35","Medium","",""
"1185533","54170","Other Manufacturing","Small","Red River Delta","Establishment","1","1","Yes","Basic metals","Manufacturing","Red River Delta","1","No","Vietnamese","1","6","2023","9","15","Yes","2022","12","31","99","MKEInt16","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","1991","10","1996","15","No","No","","No","","","","60000","No","","","","","","Yes","30","No","","","","200","Cubic meters","","No","","","","","Yes","No","","","No","","","","","With no difficulty at all","Major obstacle","Manufacturing of ","","","","","100","27000000000","twenty-seven billion","25000000000","twenty -five billion","20000000000","Twenty billion.","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Tend to agree","Tend to agree","","","","","","","","","","","","National â main product sold mostly across the country where establishment is located","10","Below 50%","","No","No","No change","No","No","","No obstacle","No","","","","No","","","No","","80","No","","","No","","","","","","No obstacle","No","","No","No","10","70","0","10","10","No","","","","","","","","","","","","","","","No","","","No","No","Yes, a loan only","State-owned banks or government agency","2023","1000000000","Yes","No","No","No","Yes","No","7000000000","1","1000000000","No","Yes, a loan only","","Application was approved in full","Don't know (spontaneous)","5","No","90","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","Don't know (spontaneous)","1000","60","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","No obstacle","Tend to agree","7","No","","","","","No","90","","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","No payments or gifts are paid","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","6","3","2","5","1","4","7","30","25","25","5","20","5","0","1","1","","80","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Electricity","4","5","13","14","12","10","7","2","11","3","8","6","15","1","9","5000000000","80000000","120000000","24000000","2400000","20000000000","","5000000000","20000000000","10000000000","20","10","1","6","2023","10","29","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","2","No","Yes","","2410","Red River Delta","Small (5-19)","Other Manufacturing","Fresh","116.10271453857","412.791015625","485.92340087891","35","Micro","",""
"1185534","54177","Retail","Medium","Red River Delta","Establishment","1","1","Yes","Wholesale","Other services","Red River Delta","26","No","Vietnamese","17","9","2023","9","54","Yes","2022","12","31","99","MKEInt_HP2","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2008","15","2008","20","No","No","","No","","","","6925","Yes","1","1","30","None","","No","","No","","","","416","Cubic meters","","No","","","","","Yes","No","","","No","","","","","With no difficulty at all","No obstacle","Wholesale trade of ","","","","","100","127878912000","one hundred twenty-seven billion eight hundred seventy-eight million nine hundred and twelve thousand","","","202197000000","two hundred and two billion one hundred ninety-seven million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Don't know (spontaneous)","Don't know (spontaneous)","Does not apply (spontaneous)","No","","Yes","Combination of short term and long term production targets","Possible to achieve with normal amount of effort","Only senior managers","No","","Promotions were based solely on performance and ability","Within 6 months of identifying non-manager under-performance","Local â main product sold mostly in same municipality where establishment is located","Too many to count","Don't know (spontaneous)","","No","Don't know (spontaneous)","Yes, there is more competition","No","No","","Don't know (spontaneous)","No","","","","No","","","No","","","No","","","No","","","","","","No obstacle","No","","No","No","80","10","0","10","0","No","","","","","","","","","","","","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","","","No","60","Internet and mobile banking, including direct debit transfer","2","Don't know (spontaneous)","Don't know (spontaneous)","70","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","No obstacle","Tend to agree","No time was spent","No","","","","","Yes, fully","Don't know (spontaneous)","","Yes, fully","Yes, fully","VAT refund not available","","","No","","No","","Don't know (spontaneous)","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","1","6","5","3","7","4","2","26","28","","","8","18","0","","","18","100","","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","No obstacle","No obstacle","Does not apply","4","11","14","3","12","13","2","15","1","10","6","5","9","7","8","4086565000","489748000","180000000","10000000","2000000","","","","","","1","10","17","9","2023","11","18","Truthful","Are in some case taken from books and in some case estimates","One visit in face-to-face interview with one person","","","4","No","Yes","","4651","Red River Delta","Medium (20-99)","Retail","Fresh","6.4344067573547","24.79097366333","26.250535964966","51","Medium","",""
"1185535","54187","Fabricated Metal Products","Large","Red River Delta","Establishment","0","1","Yes","Fabricated metal products","Manufacturing","Red River Delta","214","No","Vietnamese","27","9","2023","9","26","Yes","2022","12","31","99","MKEInt_HP5","","","","","","Sole proprietorship","","No","0","100","0","0","No","","2008","214","2008","17","No","No","","No","","","","200058","No","","","","","","No","","No","","","","1682","Cubic meters","","No","","","","","Yes","No","","","Don't know (spontaneous)","","","","","With no difficulty at all","Minor obstacle","Manufacturing of ","","","","","92","273900000000","two hundred seventy three billion nine hundred million","369249000000","three hundred sixty-nine billion two hundred forty-nine million","355879000000","three hundred fifty-five billion eight hundred and seventy-nine million","16","0","84","Seaport","5","","7","","Don't know (spontaneous)","Yes","2","","Don't know (spontaneous)","2008","25","75","No","","","","","","","No obstacle","No obstacle","No","","Strongly agree","Strongly agree","We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance","Don't know (spontaneous)","","Yes","Combination of short term and long term production targets","Possible to achieve with more than normal effort","Most managers and most production workers","Yes","Their own performance","Promotions were based solely on performance and ability","Does not apply (spontaneous)","International","Too many to count","","","Don't know (spontaneous)","Don't know (spontaneous)","Yes, there is more competition","No","Don't know (spontaneous)","","Don't know (spontaneous)","Yes","Yes","bridge beams with high quality production technology","imported materials, improved processing processes","Don't know (spontaneous)","","","No","","85","No","","","No","","","","","","No obstacle","Yes","17000000","No","Yes","100","0","0","0","0","Yes","10633000000","0","100","","0","","0","","0","","0","","0","","No","","","Yes","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","","","Yes","100","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","100","Internet and mobile banking, including direct debit transfer","Don't know (spontaneous)","Moderate obstacle","Tend to agree","4","No","","","","","Yes, partially","40","","Yes, fully","Yes, fully","VAT refund not available","","","Yes","Moderately difficult","Yes","15","No payments or gifts are paid","","No","","","No","","","Minor obstacle","Minor obstacle","Minor obstacle","Minor obstacle","Minor obstacle","Minor obstacle","Minor obstacle","5","6","3","1","4","7","2","200","150","150","50","10","120","20","0","20","","90","","No","","","","","","","Don't know (spontaneous)","","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","Moderate obstacle","Major obstacle","Tax administration","9","12","3","1","13","7","15","5","11","6","14","10","4","8","2","76562000000","10658000000","480000000","211000000","36000000","125514000000","","74280000000","125514000000","Don't know (spontaneous)","1","9","27","9","2023","10","51","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","No","Yes","","2511","Red River Delta","Large (100 or more)","Fabricated Metal Products","Fresh","2.4288158416748","8.3640775680542","9.0184898376465","60","Large","India",""
"1185536","54223","Fabricated Metal Products","Small","Red River Delta","Establishment","1","1","Yes","Repair and installation of machinery and equipment","Manufacturing","Red River Delta","15","No","Vietnamese","13","9","2023","13","48","Yes","2022","12","31","99","MKEInt_HP3","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2009","Don't know (spontaneous)","2009","15","No","No","","No","","","","650","No","","","","","","No","","No","","","","19","Cubic meters","","No","","","","","No","No","","","No","","","","","There is only one available internet provider","No obstacle","Manufacturing of ","","","","","100","9103000000","Nine billion one hundred and three million","17717000000","Seventeen billion, seven hundred and seventeen million","14786000000","Fourteen billion seven hundred eighty-six million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","","","","","","","","","","","","Local â main product sold mostly in same municipality where establishment is located","Don't know (spontaneous)","Don't know (spontaneous)","","No","Don't know (spontaneous)","No change","No","Yes","Not at all","Moderate obstacle","No","","","","No","","","No","","100","No","","","No","","","","","","No obstacle","No","","No","No","100","0","0","0","0","Yes","60000000","0","100","","0","","0","","0","","0","","0","","Yes","60000000","0","Yes","No","No","","","","","","","","","","","","","Yes","Yes, a loan only","","Still in process","300000000","","No","70","Internet and mobile banking, including direct debit transfer","3","1","120000","0","","","Minor obstacle","Does not apply (spontaneous)","No time was spent","No","","","","","No","48","","Yes, fully","Yes, fully","No","","The establishment did not need to apply for a VAT cash refund","No","","No","","Refusal (spontaneous)","","No","","","No","","","Minor obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","3","7","6","5","4","1","2","12","10","8","4","5","0","3","2","3","","80","","Yes","100","","100","","100","","8","8","","No","","","0","7","2","2","No","","","No","","No obstacle","Minor obstacle","Access to finance","15","7","11","5","1","10","2","14","9","12","6","13","8","4","3","1468000000","119000000","15000000","3000000","2000000","8101000000","","1440000000","16617000000","Don't know (spontaneous)","2","10","13","9","2023","15","12","Somewhat truthful","Are in some case taken from books and in some case estimates","One visit in face-to-face interview with different managers/staff","2","15","4","No","Yes","","3315","Red River Delta","Small (5-19)","Fabricated Metal Products","Fresh","37.311492919922","134.9446105957","147.84745788574","34","Small","",""
"1185537","54233","Construction","Small","Red River Delta","Establishment","0","0","Yes","Civil engineering","Other services","Red River Delta","6","No","Vietnamese","9","9","2023","9","7","Yes","2022","12","31","99","MKEInt_HP5","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2009","6","2009","14","No","No","","No","","","","400","No","","","","","","No","","No","","","","10","Cubic meters","","No","","","","","Yes","No","","","Yes","2","","None","","With no difficulty at all","No obstacle","Construction of","","","","","100","4211000000","four billion two hundred and eleven million","","","2535000000","Two billion five hundred and thirty -five million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Tend to agree","Tend to agree","","","","","","","","","","","","Local â main product sold mostly in same municipality where establishment is located","Too many to count","","5","No","No","Yes, there is more competition","No","No","","Major obstacle","Yes","Yes","Register intellectual property rights for land protection embankments","embankment","No","","","Yes","6000000000","","No","","","No","","","","","","No obstacle","No","","No","No","1","0","0","98","1","No","","","","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","Yes","No","No need for a loan - establishment had sufficient capital","","","","No","100","Internet and mobile banking, including direct debit transfer","2","1","2000000","100","Internet and mobile banking, including direct debit transfer","10","No obstacle","Strongly agree","10","No","","","","","No","","25","Yes, fully","Yes, fully","No","","Other","No","","No","","Don't know (spontaneous)","","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","4","2","3","6","1","7","5","6","6","","","6","0","0","","","6","","6","No","","","","","","","No need to hire any new permanent full-time workers","","","No","","","6","6","2","10","No","","","No","","No obstacle","No obstacle","Practices of competitors in the informal sector","8","15","3","2","12","11","13","9","4","5","7","14","10","6","1","748000000","166000000","15000000","6000000","4800000","","","","","","2","3","9","9","2023","9","54","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","No","Yes","","4210","Red River Delta","Small (5-19)","Construction","Fresh","89.26245880127","331.41241455078","388.8271484375","39","Small","",""
"1185538","54348","Construction","Medium","Red River Delta","Establishment","1","0","Yes","Civil engineering","Other services","Red River Delta","36","No","Vietnamese","13","9","2023","15","49","Yes","2022","12","31","99","MKEInt_HP5","","","","","","Sole proprietorship","","Yes","100","0","0","0","No","","2009","12","2008","14","No","No","","No","","","","340","No","","","","","","No","","No","","","","30","Cubic meters","","No","","","","","Yes","No","","","No","","","","","With no difficulty at all","No obstacle","Construction of","","","","","100","66879000000","sixty-six billion eight hundred seventy-nine million","","","62839000000","sixty-two billion eight hundred and thirty-nine million","100","0","0","","","","","","","","","","","","100","0","","","","","","","","No obstacle","No obstacle","No","","Strongly agree","Strongly agree","Does not apply (spontaneous)","No","","No","","","","No","","Does not apply (spontaneous)","Does not apply (spontaneous)","National â main product sold mostly across the country where establishment is located","Too many to count","Don't know (spontaneous)","","No","Yes","Yes, there is more competition","No","Don't know (spontaneous)","","Moderate obstacle","No","","","","No","","","No","","","No","","","Yes","One day or less","1000000","","","","No obstacle","No","","No","No","30","26","0","44","0","Yes","56000000","0","0","","100","","0","","0","","0","","0","","","","","Yes","No","Yes, a loan only","Private commercial banks","2022","7500000000","Yes","Yes","No","No","Yes","No","10500000000","1","7500000000","No","Yes, a loan only","","Application was approved in full","0","1","No","100","Internet and mobile banking, including direct debit transfer","Payment received in less than a day","0","0","100","Internet and mobile banking, including direct debit transfer","0","No obstacle","Strongly agree","33","Yes","1","No","No","","No","","4","Yes, fully","Yes, fully","No","","The application for a VAT cash refund is too complicated","Yes","Somewhat difficult","Yes","7","Don't know (spontaneous)","","No","","","Yes","7","No","Major obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","4","6","2","1","3","5","7","36","38","","","36","0","0","","","9","100","","No","","","","","","","3","3","","No","","","0","No full-time seasonal or temporary workers","","","No","","","No","","Minor obstacle","No obstacle","Access to finance","4","13","12","1","15","5","7","11","8","10","9","2","14","6","3","4895000000","505000000","9600000","3600000","3000000","","","","","","5","9","13","9","2023","16","53","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","4","No","Yes","","4220","Red River Delta","Medium (20-99)","Construction","Fresh","57.43270111084","195.95056152344","212.82403564453","52","Medium","",""
