"idstd","id","preference","rotation","a0","a1","a1a","a2","a3a","a3a2","a3b","a3c","a3","a4a","a4b","a5","a6a","a6b","a7","a7a","a8a","a9","a10","a11","a11a","a12","a13","a14d","a14m","a14y","a14h","a14min","eaa3a3w","eaa3a3x","eaa3a3y","eaa3a3z","b1","b1x","b3","b2a","b2b","b2c","b2d","b4","b4a","b5","b6","b6a","b6b","b7","b7a","b8","b8x","c3","c4","c5","c6","c7","c8a","c8b","c9a","c9b","c10","c11","c12","c13","c14","c15","c16","c17","c22a","c22b","c30a","c30b","d1a1x","d1a2","d1a3","d2","d2x","n3","n3x","d3a","d3b","d3c","d4","ead4a","d6","d7","d8","d10","d11","d12a","d12b","d13","d14","d16","d17","d30a","d30b","e1","e2b","e6","e11","e30","h1","h2","eah2x","eah2a","eah4a","eah4b","eah4c","eah10","eah11a","eah11b","h3","h4a","h4b","eah12a","eah12b","eah13","h5","eah14a","eah14b","eah14c","h6","h7","h8","eah15","eah16","f1","f2","g6a","g6b","g6c","g1a","g1b","g1c","g2","g3","g4","g5a","g5b","g5bx","g30a","i1","i2a","i2b","i3","i4a","i4b","i30","k1c","k2c","k3a","k3bc","k3e","k3f","k3hd","k4","n5a","n5b","k5a","k5i","k5bc","k5e","k5f","k5hdj","k5a1","k5i1","k5bc1","k5e1","k5f1","k5hdj1","k6","k7","k8","k9","k10","k11","k13","k14a","k14b","k14c","k14d","k14e","k15a","k15b","k15c","k15d","k16","k17","k20a1","k21","k30","h7a","j2","j3","j4","j5","j6a","j6","j7a","j7b","j10","j11","j12","j13","j14","j15","j30a","j30b","j30c","j30e","j30f","h30","l1","l2","l3a","l3b","l4a","l4b","eal4c","eal4d","eal5a","eal5b","eal5c","eal5d","eal5s","l5a","l5b","l5","eal5a1","eal5a2","eal5b1","eal5b2","l6","l6a","l8","l9a","l9a2","l9b","l10","eal10a","eal10b","eal11a","eal11b","eal11c","eal11d","eal12","eal13","eal14","eal15a","eal16a","eal17a","myal17","myal18a","myal18b","myal18c","myal18d","myal18e","myal18x","myal24","myal25a","myal25b","myal25c","myal25d","myal25e","myal25x","eal15b","eal16b","eal17b","myal32a","myal32b","myal32c","myal32d","myal32e","myal32x","eal15c","eal16c","eal17c","myal39a","myal39b","myal39c","myal39d","myal39e","myal39x","eal15d","eal16d","eal17d","myal46a","myal46b","myal46c","myal46d","myal46e","myal46x","eal18a","eal18b","eal18c","eal18d","eal18e","eal18f","eal18g","eal19","eal20","myal52a1","myal52a2","myal52b","myal52c","myal52d","l30a","l30b","m1a","n2a","n2e","n2f","n2b","n2i","n2p","n6a","n6b","n7a","n7b","a15a1ax","a15a2a","a15a3","a15a1bx","a15a2b","a15b3","a15a1cx","a15a2c","a15c3","a15d","a15m","a15y","a15h","a15min","a16","a17","a18","a19h","a19m","eava0","stratificationregioncode","stratificationsizecode","stratificationsectorcode","panelcode","wstrict","wmedian","wweak","strata","l11a","l11b"
"599251","1942","31","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","18","17","No, screener and sample frame do not match but establishment still does activities that match sample frame","Medium","Medium","No","1","","","","","","407","801","17","4","2015","14","49","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2003","20","No","2006","10","Yes","No","","Yes","60","No","No","","","","","","No","","No","","","No","","","Yes","No","No obstacle","Minor obstacle","manufacture of wool for export","1712","100","1786000000","one billion seven hundred and eighty six million","1400000000","one billion four hundred million","0","100","0","","","","","2003","Does not apply","","0","100","No","","15","","No obstacle","Don't know (spontaneous)","International ","","No","No","Does not apply","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","70","40","100","0","0","100","0","0","No","","","","","","Does not apply","Yes","","48000000","No","","","No obstacle","0","20","100","0","0","0","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","Don't know (spontaneous)","Tend to agree","0","No","","","No","","Refusal (spontaneous)","","No","","","No","","","No obstacle","No obstacle","No obstacle","Minor obstacle","Minor obstacle","Don't know (spontaneous)","100","100","95","5","70","25","3","2","65","25","3","1","","","","","","","","","5","5","3","9","9","100","Yes","","Technical skills (other than IT), vocational, or job-specific skills","0","0","33","0","No","Yes","Yes","0","","","","","","","","","","","","","","","","","0","","","","","","","","","20","5","45","Yes","No","No","No","No","","0","","","","","","","","","Very difficult","Difficult","Does not apply","Difficult","Does not apply","Easy","Difficult","15","Yes","3","6","2","70","30","No obstacle","Major obstacle","Inadequately educated workforce","1238000000","200000000","Don't know (spontaneous)","36000000","","1474000000","30000000","1400000000","700000000","2500000000","chief accountant","9","Female","","","","","","","20","4","2015","3","56","Somewhat truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","Mekong River Delta","Medium (20-99)","Garments","Fresh","2.8152637481689","3.3321149349213","4.7879910469055","135","",""
"599252","1943","10","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","Less than 50.000","18","18","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","414","501","25","7","2015","9","30","","","2014","2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2003","40","Yes","2003","12","Yes","No","","No","","","No","","","","","","No","","No","","","No","","","No","No","No obstacle","No obstacle","manufacture of wearing apparel","1810","100","500000000","five hundred million","600000000","six hundred million","0","100","0","","","","","2003","0","0","100","0","","","30","","No obstacle","No obstacle","International ","","No","No","No obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","80","70","100","0","0","100","0","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","0","0","100","0","0","0","0","No","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","Yes","No obstacle","Tend to agree","5","Yes","1","No","No","","","Don't know (spontaneous)","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","25","30","22","3","22","0","3","0","18","0","3","0","","18","3","","","","","","0","","","9","12","70","Yes","","Technical skills (other than IT), vocational, or job-specific skills","100","0","100","0","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","No obstacle","No obstacle","Inadequately educated workforce","150000000","100000000","Don't know (spontaneous)","100000000","","350000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","director","12","Female","","","","","","","25","7","2015","10","59","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","Mekong River Delta","Medium (20-99)","Garments","Fresh","2.8152637481689","3.3321149349213","4.7879910469055","135","",""
"599253","1945","16","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","18","18","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","407","801","13","4","2015","14","53","","","2013-2014","2011-2012","Other","limited liability company","100","100","0","0","0","Yes","100","2008","50","Yes","2008","17","Yes","No","","No","","","No","","","","","","No","","No","","","Does not apply","","","Yes","Yes","No obstacle","No obstacle","sewing set of clothing (clothing at home for women)","1810","90","18000000000","eighteen billion","30000000000","thirty billion","100","0","0","","","","","","0","0","100","0","","","7","","No obstacle","Don't know (spontaneous)","National â main product sold mostly across the country where establishment is located","-4","No","Yes","Moderate obstacle","No","","","","","","","","No","No","No","Yes","No","No","Yes","Entirely by this establishment","Yes","No","Yes","Yes","Yes","No","","No","No","50","48","95","5","0","100","0","0","No","","","","","","No obstacle","Yes","","688000000","No","","","No obstacle","70","90","80","10","0","10","0","No","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","","","","","","","Yes","No","Yes","Private commercial banks","2015","2000000000","Yes","No","No","No","Yes","No","2500000000","1","","No","No","Size of loan and maturity were insufficient","","Yes","Moderate obstacle","Strongly agree","0","Yes","1","No","No","","1","","No","","","Yes","7","No","No obstacle","No obstacle","No obstacle","No obstacle","Moderate obstacle","Don't know (spontaneous)","70","70","40","30","15","25","13","17","12","17","9","2","","","","","","","","","20","15","3","9","9","80","No","No need for formal training programs","","","","","","Yes","Yes","Yes","0","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","6","6","4","Yes","Yes","No","No","No","","Does not apply","Does not apply","Does not apply","Difficult","Does not apply","Does not apply","Difficult","12","Yes","10","7","20","20","25","Minor obstacle","Moderate obstacle","Access to finance ","3048000000","4320000000","48000000","84000000","","7500000000","600000000","4000000000","900000000","4800000000","director","7","Female","","","","","","","16","4","2015","5","16","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","Mekong River Delta","Medium (20-99)","Garments","Fresh","2.8152637481689","3.3321149349213","4.7879910469055","135","",""
"599254","1949","15","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","Less than 50.000","18","18","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","414","501","24","11","2015","11","0","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2010","7","Yes","2010","25","No","No","","No","","","Yes","1","12","59","1","","No","","No","","","No","","","Yes","No","No obstacle","No obstacle","sew clothes","1810","100","2400000000","two billion four hundred million","4200000000","four billion two hundred million","100","0","0","","","","","","0","0","100","0","","","Don't know (spontaneous)","","No obstacle","No obstacle","Don't know (spontaneous)","","Don't know (spontaneous)","No","No obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","Don't know (spontaneous)","Don't know (spontaneous)","100","0","0","100","0","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","0","5","100","0","0","0","0","No","","","","","","","","","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","Yes","No obstacle","Tend to agree","1","No","","","No","","0","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","38","20","36","2","25","11","2","0","10","5","0","0","","15","0","","","","","","0","","","Don't know (spontaneous)","Don't know (spontaneous)","80","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Transport","1290000000","700000000","500000000","36000000","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","director","5","Male","","","","","","","24","11","2015","12","0","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","Mekong River Delta","Medium (20-99)","Garments","Fresh","2.8152637481689","3.3321149349213","4.7879910469055","135","",""
"599255","1961","13","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","Less than 50.000","25","25","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","414","501","1","12","2015","10","0","","","2014","2012","Sole proprietorship","","100","100","0","0","0","Yes","100","2010","10","Yes","2010","7","Yes","No","","No","","","Yes","3","30","59","10","","No","","No","","","No","","","Yes","No","No obstacle","No obstacle","manufacture of plastics prducts","2520","100","7300000000","seven billion three hundred million","9200000000","nine billion two hundred million","100","0","0","","","","","","0","0","100","0","","","10","","No obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","-4","No","No","No obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","100","48","100","0","0","100","0","0","Yes","20","No","","","","No obstacle","Yes","1","","No","","","No obstacle","0","0","50","50","0","0","0","Yes","6400000000","0","30","0","70","0","0","0","","","","","","","No","No","No","","","","","","","","","","","","","No","No","Other","","Yes","No obstacle","Tend to agree","0","No","","","No","","0","","No","","","No","","","No obstacle","No obstacle","Minor obstacle","No obstacle","No obstacle","No obstacle","85","100","77","8","77","0","8","0","75","0","7","0","","75","7","","","","","","0","","","9","9","100","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","150","0","0","No obstacle","No obstacle","Inadequately educated workforce","3000000000","3600","1500","4200","","12400000000","500000000","0","1700000000","5000000000","enterprise owner","5","Female","","","","","","","1","12","2015","11","5","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","Mekong River Delta","Medium (20-99)","Other Manufacturing","Fresh","36.451469421387","46.578987121582","75.156997680664","139","",""
"599256","1972","30","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Medium","Large","No","1","","","","","","407","801","12","5","2015","9","59","","","2013-2014","2011-2012","Other","limited liability company","25","100","0","0","0","No","","2010","100","No","2010","15","No","No","","No","","","Yes","2","12","0","","300000000","Yes","1","No","","","No","","","Yes","Yes","Minor obstacle","No obstacle","manufacture of civil glass goods","2610","100","17000000000","seventeen billion","10400000000","ten billion, four hundred million","90","10","0","","","","","2010","0","2","98","2","No","","2","","No obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","4","No","Yes","Minor obstacle","Yes","Yes","","40","No","Yes","Yes","Entirely by this establishment","No","No","No","Yes","No","Yes","No","Entirely by this establishment","No","","","","No","No","","No","No","100","168","100","0","0","0","100","0","Yes","60","No","","","","Moderate obstacle","Yes","","150000000","No","","","No obstacle","100","100","0","100","0","0","0","Yes","800000000","0","0","0","100","0","0","0","","","","","","","Yes","No","Yes","Private commercial banks","2015","5000000000","Yes","No","No","No","Yes","No","9000000000","2","2600000000","Yes","Yes","","Application was approved in full","No","No obstacle","Strongly disagree","0","No","","","No","","1","","No","","","No","","","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","No obstacle","110","90","90","20","30","60","10","10","0","20","0","4","","","","","","","","","40","10","6","8","9","70","No","No need for formal training programs","","","","","","No","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","12","30","50","No obstacle","No obstacle","Tax administration","3000000000","2500000000","500000000","1700000000","","8300000000","2600000000","3100000000","3000000000","17000000000","chief accountant","5","Male","","","","","","","13","5","2015","10","47","Somewhat truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","Mekong River Delta","Medium (20-99)","Non-Metallic Mineral Products","Fresh","9.8035507202148","12.111275672913","22.681673049927","136","",""
"599257","1975","3","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","316","501","12","","2015","10","30","","","2014","2012","Limited partnership","","60","100","0","0","0","No","","2007","30","Yes","2007","18","No","No","","No","","","Yes","4","8","0","","1200000000","No","","No","","","No","","","Yes","No","Moderate obstacle","Minor obstacle","manufacture of marble for domestic and foreign customers","2696","100","350000000000","three hundred fifty billion","250000000000","two hundred fifty billion","70","0","30","7","Refusal (spontaneous)","0","2","2007","0","3","60","40","Yes","8","7","","Minor obstacle","Minor obstacle","National â main product sold mostly across the country where establishment is located","-4","No","Yes","Very severe obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","Yes","No","","No","No","80","48","50","50","0","50","50","0","Yes","14","Refusal (spontaneous)","","","","Minor obstacle","Yes","","180000000","No","","","Minor obstacle","50","70","70","10","0","20","0","Yes","15000000000","26000000000","30","0","70","0","0","0","","","","","","","Yes","No","Yes","Private commercial banks","2014","10500000000","Yes","Yes","Yes","No","No","No","15000000000","1","","No","Yes","","Application was approved in full","Yes","Minor obstacle","Tend to agree","0","No","","","No","","","Refusal (spontaneous)","No","","","No","","","Minor obstacle","No obstacle","Minor obstacle","Minor obstacle","No obstacle","No obstacle","61","30","50","11","50","0","11","0","10","0","6","0","","10","6","","","","","","0","","","12","12","100","Yes","","Technical skills (other than IT), vocational, or job-specific skills","0","0","18","0","No","No","Yes","5","0","","No","","","","","","","No","","","","","","","0","","","","","","","","","10","10","1","Yes","No","No","No","No","","0","","","","","","","","","Does not apply","Difficult","Easy","Difficult","Easy","Easy","Easy","5","No","14","0","50","0","2","Minor obstacle","No obstacle","Don't know (spontaneous)","1500000000","24500000000","2400000000","2400000000","","30800000000","50000000000","26000000000","50000000000","52000000000","director","9","Male","","","","","","","12","8","2015","5","49","Truthful","Are in some case taken from books in some case estimates","Several visits","1","50","","Mekong River Delta","Medium (20-99)","Non-Metallic Mineral Products","Fresh","9.8035507202148","12.111275672913","22.681673049927","136","",""
"599258","1981","33","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","411","801","31","3","2015","8","47","","","2014","2012","Sole proprietorship","","100","100","0","0","0","No","","2009","60","Yes","2009","35","No","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","No","No obstacle","Minor obstacle","manufacture of construction materials such as brick, sand, stone, cement","2692","99","5000000000","five billion","4500000000","four billion, five hundred million","100","0","0","","","","","","0","0","100","0","","","7","","No obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","2","No","Yes","No obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","100","56","100","0","0","100","0","0","No","","","","","","No obstacle","No","","","No","","","No obstacle","0","20","20","80","0","0","0","No","","","90","0","10","0","0","0","","","","","","","Yes","Yes","Yes","Private commercial banks","2011","500000000","Yes","Yes","No","No","Yes","No","1800000000","1","","No","No","No need for a loan - establishment had sufficient capital","","No","Minor obstacle","Don't know (spontaneous)","2","Yes","1","No","No","","","Don't know (spontaneous)","No","","","No","","","Minor obstacle","Minor obstacle","No obstacle","No obstacle","No obstacle","No obstacle","70","60","60","10","60","0","10","0","30","0","3","0","","30","3","","","","","","20","5","12","6","6","50","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","0","10","5","5","No obstacle","No obstacle","Tax rates","1000000000","2200000000","600000000","36000000","","4000000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","director","35","Male","","","","","","","31","3","2015","9","23","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","Mekong River Delta","Medium (20-99)","Non-Metallic Mineral Products","Fresh","9.8035507202148","12.111275672913","22.681673049927","136","",""
"599259","1984","22","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","26","26","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","309","801","11","4","2015","15","32","","","2014","2012","Limited partnership","","50","100","0","0","0","Yes","50","2002","200","Yes","2002","13","Yes","Don't know (spontaneous)","","Yes","20","No","No","","","","","","Yes","Don't know (spontaneous)","Don't know (spontaneous)","","","No","","","Yes","Yes","No obstacle","No obstacle","manufacture of brick for house construction","2692","100","1000000000","one billion","500000000","five hundred million","100","0","0","","","","","","0","5","100","0","","","365","","No obstacle","No obstacle","Local â main product sold mostly in same municipality where establishment is located","-4","No","Yes","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","Yes","No","Yes","No","No","Yes","0","No","No","30","48","100","0","0","100","0","0","No","","","","","","No obstacle","Yes","5","","Yes","","200000000","Very severe obstacle","0","0","100","0","0","0","0","Yes","850000000","0","100","0","0","0","0","0","","","","","","","No","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","No obstacle","Strongly agree","3","No","","","Yes","0","Refusal (spontaneous)","","No","","","No","","","No obstacle","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Minor obstacle","35","50","30","5","10","20","3","2","0","0","0","2","","0","2","","","","","","30","10","3","5","Does not apply","60","No","No need for formal training programs","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","No obstacle","No obstacle","Access to land","800000000","100000000","500000000","400000000","","1800000000","20000000000","41000000000","Don't know (spontaneous)","45000000000","accountant","2","Female","","","","","","","13","4","2015","4","20","Truthful","Are in some case taken from books in some case estimates","One visit in face-to-face interview with one person","","","Refusal to the paper follow-up","Mekong River Delta","Medium (20-99)","Non-Metallic Mineral Products","Fresh","9.8035507202148","12.111275672913","22.681673049927","136","",""
"599260","2001","16","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","28","28","Yes, screener and sample frame info match","Medium","Large","No","1","","","","","","407","801","8","4","2015","8","58","","","2013-2014","2011-2012","Other","limited liability company","100","100","0","0","0","No","","1996","20","Yes","1996","20","No","No","","No","","","Yes","0","","","0","","No","","No","","","No","","","Yes","Yes","No obstacle","No obstacle","manufacture of kitchen equipments from inox","2899","100","70000000000","seventy billion","70000000000","seventy billion","100","0","0","","","","","","0","0","0","100","No","","90","","Moderate obstacle","Minor obstacle","National â main product sold mostly across the country where establishment is located","5","No","Yes","Moderate obstacle","Yes","Don't know (spontaneous)","","20","No","No","Yes","Entirely by this establishment","Yes","No","Yes","No","Yes","Yes","Yes","Entirely by this establishment","Yes","Yes","No","No","Yes","No","","No","No","90","48","100","0","0","100","0","0","Yes","30","No","","","","Moderate obstacle","Yes","","288000000","No","","","Minor obstacle","100","90","20","80","0","0","0","Yes","5000000000","0","50","0","50","0","0","0","","","","","","","Yes","No","Yes","Private commercial banks","2014","20000000000","Yes","Yes","No","No","Yes","No","90000000000","1","","No","Yes","","Application was approved in part","Yes","Major obstacle","Strongly disagree","0","Yes","1","Yes","No","","","35000000","No","","","No","","","Minor obstacle","Moderate obstacle","Very severe obstacle","Moderate obstacle","Moderate obstacle","No obstacle","150","150","135","15","15","120","10","5","5","40","6","3","","","","","","","","","0","","","9","8","80","No","Lack of relevant training programs related to this establishmentâs work","","","","","","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","6","40","100","No obstacle","Minor obstacle","Access to finance ","22400000000","39960000000","240000000","1800000000","","64400000000","15000000000","30000000000","30000000000","45000000000","director","19","Male","","","","","","","11","4","2015","10","7","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","The paper follow-up administered successfully","Mekong River Delta","Medium (20-99)","Fabricated Metal Products","Fresh","5.1596202850342","6.8711462020874","9.3480186462402","137","",""
"599261","2006","7","","Other Services","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","28","45","No, screener and sample frame do not match but establishment still does activities that match sample frame","Medium","Medium","No","1","","","","","","402","801","25","12","2014","8","47","","","2013-2014","2011-2012","Sole proprietorship","","100","100","0","0","0","No","","2009","15","Yes","2009","20","No","No","","No","","","No","","","","","","No","","No","","","","","","Yes","No","Minor obstacle","No obstacle","assembly the ware house ( steel house ) for rice storing.","4520","95","6700000000","six billion and seven hundred million","10000000000","ten billion","100","0","0","","","","","","0","0","","","","","","Don't know (spontaneous)","Moderate obstacle","Don't know (spontaneous)","","","","Yes","Minor obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","","","0","100","0","0","100","0","No","","","Don't know (spontaneous)","","","No obstacle","Yes","","39000000","No","","","No obstacle","50","30","20","50","0","25","5","Yes","300000000","0","70","0","30","0","0","0","","","","","","","Yes","No","Yes","Private commercial banks","2014","300000000","Yes","Yes","No","No","No","No","850000000","1","","No","Yes","","Application was approved in full","No","No obstacle","Tend to agree","1","No","","","No","","","20000000","No","","","No","","","Major obstacle","No obstacle","No obstacle","No obstacle","Don't know (spontaneous)","Does not apply","26","26","","","","","","","","","","","","","","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","10","0","3","","","100","No","No need for formal training programs","","","","","","Yes","Yes","Yes","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","Does not apply","Does not apply","Does not apply","Difficult","Does not apply","Does not apply","Difficult","0","","","","","","","Minor obstacle","Minor obstacle","Tax rates","1500000000","","","96000000","Don't know (spontaneous)","","","","","","director","5","Male","","","","","","","25","12","2014","9","45","Somewhat truthful","Are estimates computed with some precision","One visit in face-to-face interview with one person","","","","Mekong River Delta","Medium (20-99)","Fabricated Metal Products","Fresh","5.1596202850342","6.8711462020874","9.3480186462402","137","",""
"599262","2012","30","","Manufacturing","99","Vietnamese","Mekong River Delta","Mekong River Delta","Vietnamese dong","No","No","City with population over 1 million","28","28","Yes, screener and sample frame info match","Medium","Medium","No","1","","","","","","413","501","1","12","2015","15","0","","","2014","2012","Limited partnership","","51","100","0","0","0","No","","1999","30","Yes","1999","20","No","No","","No","","","No","","","","","","No","","No","","","No","","","Yes","Yes","Minor obstacle","No obstacle","manufacture of metal sanitary ware, kitchenware..","2899","98","24000000000","twenty four billion","50000000000","fifty billion","100","0","0","","","","","","0","0","80","20","No","","Don't know (spontaneous)","","No obstacle","No obstacle","National â main product sold mostly across the country where establishment is located","6","No","No","Major obstacle","No","","","","","","","","No","No","No","No","No","","","","No","","","","No","No","","No","No","70","70","100","0","0","0","100","0","No","","","","","","No obstacle","Yes","","1200000000","No","","","No obstacle","35","30","100","0","0","0","0","Yes","100000000","0","100","0","0","0","0","0","","","","","","","Yes","No","No","","","","","","","","","","","","","No","No","No need for a loan - establishment had sufficient capital","","No","No obstacle","Tend to agree","0","No","","","No","","0","","No","","","No","","","Minor obstacle","No obstacle","Minor obstacle","No obstacle","No obstacle","Don't know (spontaneous)","28","20","20","8","18","2","5","3","0","0","5","2","","0","7","","","","","","15","0","Don't know (spontaneous)","90","Does not apply","90","No","Unaware of training programs","","","","","","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","0","30","0","3","No obstacle","No obstacle","Electricity","1247000000","9247000000","40000000","120000000","","21240000000","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","Don't know (spontaneous)","chief accountant","8","Female","","","","","","","1","12","2015","16","10","Truthful","Are taken directly from establishment records","One visit in face-to-face interview with one person","","","","Mekong River Delta","Medium (20-99)","Fabricated Metal Products","Fresh","5.1596202850342","6.8711462020874","9.3480186462402","137","",""
